ID,Location,Date,Latitude,Longitude,Cause,photo_url,
1,Moradi Area,25-Sep-23,-1.260019,36.862578,Electricity malfunction,https://raw.githubusercontent.com/pskcompany/Mathare_Ruaraka_Flooding/main/moradi_img.PNG,
2,Mlango Kubwa,18-Nov-24,-1.262669,36.853328,Under investigation,https://raw.githubusercontent.com/pskcompany/Mathare_Ruaraka_Flooding/main/mlango_kubwa_img1.PNG,
3,Bondeni area,06-Mar-23,-1.264794,36.856819,Under investigation,https://raw.githubusercontent.com/pskcompany/Mathare_Ruaraka_Flooding/main/bondeni_fire_img1.PNG,
4,Mlango Kubwa,08-Oct-21,-1.263519,36.852872,Lack of Water,https://raw.githubusercontent.com/pskcompany/Mathare_Ruaraka_Flooding/main/mlango_kubwa_fire_img2.PNG,
5,Mathare North Area Two,18-Aug-20,-1.251542,36.8713,Burning firewood,https://raw.githubusercontent.com/pskcompany/Mathare_Ruaraka_Flooding/main/area_two_fire_img.PNG,
6,Moi Air Base Eastleigh,21-Jun-16,-1.273758,36.847883,Unknown,https://raw.githubusercontent.com/pskcompany/Mathare_Ruaraka_Flooding/main/moi_air_base_fire_img.PNG,
7,Mathare slums,Oct-13,-1.261889,36.858494,Electricity malfunction,https://raw.githubusercontent.com/pskcompany/Mathare_Ruaraka_Flooding/main/mathare_slum_fire_img.PNG,
8,Bondeni area,19-Oct-13,-1.26515,36.857992,Electricity malfunction,https://raw.githubusercontent.com/pskcompany/Mathare_Ruaraka_Flooding/main/bondeni_fire_img2.PNG,
9,Ruaraka ,13-May-24,-1.247547,36.882772,Gas Explosion,https://raw.githubusercontent.com/pskcompany/Mathare_Ruaraka_Flooding/main/ruaraka_fire_img.PNG,
